algo,dataset,variant,mode,ram_cap_bytes,params_json,threads,trial,recall1,recall10,recall100,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,bytes_read_total,bytes_read_per_query,bytes_per_query_app,ios_total,ios_per_query,simd_distance_calls,simd_avoided,cpu_user_s,cpu_sys_s,peak_rss_mb,wall_s,commit_sha
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 4}",1,1,,92.312,,1261.2210693359375,0.7921506,,1.018,,2.354,1871056896,187105.7,160444.4,655,39.171,,,1.86,0.93,854.0,10.143,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 4}",1,2,,92.312,,1266.6883544921875,0.7887409,,1.016,,2.351,1868992512,186899.3,160444.4,654,39.171,,,1.83,0.95,853.0,10.158,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 20, ""W"": 4}",1,3,,92.312,,1254.2677001953125,0.7965553999999999,,1.024,,3.208,1869524992,186952.5,160444.4,654,39.171,,,1.84,0.91,854.7,10.172,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 1}",1,1,,94.566,,426.3337097167969,2.3447964000000003,,2.693,,6.432,2140839936,214084.0,151937.0,654,37.094,,,2.13,1.25,854.0,25.649,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 1}",1,2,,94.566,,376.93609619140625,2.6521950999999997,,4.33,,23.371,2141884416,214188.4,151937.0,654,37.094,,,2.07,1.2,853.7,28.782,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 1}",1,3,,94.566,,427.9286804199219,2.3360539,,2.673,,6.467,2141921280,214192.1,151937.0,655,37.094,,,2.08,1.18,854.4,25.545,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 2}",1,1,,94.781,,685.9035034179688,1.4571812,,1.703,,4.591,2168963072,216896.3,166566.7,655,40.6657,,,2.03,1.1,854.1,16.795,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 2}",1,2,,94.781,,681.2699584960938,1.4670945999999998,,1.714,,4.949,2168963072,216896.3,166566.7,655,40.6657,,,2.03,1.14,853.5,16.914,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 2}",1,3,,94.781,,685.1373291015625,1.4588109999999999,,1.7,,4.028,2168963072,216896.3,166566.7,655,40.6657,,,1.98,1.17,854.4,16.828,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 4}",1,1,,95.183,,987.263671875,1.0121545,,1.248,,3.317,2234499072,223449.9,197390.7,655,48.1911,,,2.17,1.07,852.7,12.375,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 4}",1,2,,95.183,,985.7186279296875,1.0137435000000001,,1.256,,3.236,2233905152,223390.5,197390.7,654,48.1911,,,2.13,1.07,853.7,12.334,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 30, ""W"": 4}",1,3,,95.183,,988.3486328125,1.0110529,,1.244,,3.459,2233995264,223399.5,197390.7,654,48.1911,,,2.18,1.05,854.0,12.348,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 1}",1,1,,97.409,,272.0741271972656,3.6746487,,4.062,,7.907,2923724800,292372.5,231785.3,655,56.5882,,,2.75,1.6,853.1,38.97,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 1}",1,2,,97.409,,272.1868896484375,3.67313,,4.034,,8.016,2923724800,292372.5,231785.3,655,56.5882,,,2.74,1.56,853.8,38.923,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 1}",1,3,,97.409,,272.2084655761719,3.6728437,,4.033,,7.84,2922631168,292263.1,231785.3,654,56.5882,,,2.74,1.6,854.0,38.975,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 2}",1,1,,97.467,,447.4112243652344,2.2343012,,2.499,,5.923,2944913408,294491.3,245695.3,655,59.9842,,,2.61,1.48,852.8,24.578,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 2}",1,2,,97.467,,446.967041015625,2.2365167,,2.504,,5.955,2944913408,294491.3,245695.3,655,59.9842,,,2.65,1.45,852.4,24.602,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 2}",1,3,,97.467,,447.03997802734375,2.2361392,,2.507,,5.988,2944913408,294491.3,245695.3,655,59.9842,,,2.66,1.44,853.8,24.6,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 4}",1,1,,97.624,,685.2543334960938,1.4585304000000001,,1.71,,4.467,2990604288,299060.4,274655.6,654,67.0546,,,2.66,1.33,853.7,16.773,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 4}",1,2,,97.624,,683.66748046875,1.4619094,,1.717,,4.067,2993655808,299365.6,274655.6,655,67.0546,,,2.74,1.33,853.9,16.866,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 50, ""W"": 4}",1,3,,97.624,,688.0223999023438,1.4526776,,1.702,,3.947,2993655808,299365.6,274655.6,655,67.0546,,,2.65,1.32,854.0,16.714,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 1}",1,1,,98.723,,185.96156311035156,5.3765860000000005,,5.862,,11.146,3913617408,391361.7,333033.1,654,81.3069,,,3.49,2.18,853.6,55.977,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 1}",1,2,,98.723,,186.37533569335938,5.3646674999999995,,5.859,,10.549,3912695808,391269.6,333033.1,654,81.3069,,,3.51,2.12,853.9,55.854,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 1}",1,3,,98.723,,185.3773651123047,5.3935381,,5.885,,10.492,3913981952,391398.2,333033.1,655,81.3069,,,3.57,2.18,853.5,56.128,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 2}",1,1,,98.739,,311.9322509765625,3.204951,,3.509,,7.293,3930349568,393035.0,346318.8,655,84.5505,,,3.22,1.88,854.7,34.232,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 2}",1,2,,98.739,,311.88555908203125,3.2054329,,3.528,,7.441,3930349568,393035.0,346318.8,655,84.5505,,,3.25,1.92,853.1,34.272,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 2}",1,3,,98.739,,312.2929992675781,3.2012728000000004,,3.515,,7.142,3928453120,392845.3,346318.8,654,84.5505,,,3.21,1.92,853.8,34.24,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 4}",1,1,,98.801,,494.8538513183594,2.0199682,,2.315,,5.746,3965820928,396582.1,374020.5,654,91.3136,,,3.28,1.71,853.3,22.412,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 4}",1,2,,98.801,,495.5657043457031,2.0170745,,2.313,,5.477,3968790528,396879.1,374020.5,655,91.3136,,,3.2,1.76,853.0,22.402,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 75, ""W"": 4}",1,3,,98.801,,495.84674072265625,2.0159169,,2.286,,5.739,3965685760,396568.6,374020.5,654,91.3136,,,3.32,1.68,852.6,22.445,bb380a795cd44062da32056f57301d3566b0f422
diskann,sift10m,diskann_fp32_pq64,warm,,"{""L"": 100, ""W"": 1}",1,1,,99.26,,140.5590057373047,7.1135802,,7.751,,13.525,4909031424,490903.1,434739.6,655,106.1376,,,4.46,2.82,854.3,73.365,bb380a795cd44062da32056f57301d3566b0f422
