algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,ios_per_query_median,ios_per_query_iqr,p99_ms_median,p99_ms_iqr,pareto_group
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 100, ""W"": 1}",1,1,99.26,0.0,7.65,0.0,130.7037,0.0,501327.9,0.0,106.1376,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 100, ""W"": 2}",1,1,99.278,0.0,4.5224,0.0,221.0822,0.0,514274.5,0.0,109.2687,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 100, ""W"": 4}",1,1,99.301,0.0,2.9378,0.0,340.2964,0.0,541055.4,0.0,115.8096,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 150, ""W"": 1}",1,1,99.682,0.0,11.1134,0.0,89.9736,0.0,705271.0,0.0,155.8986,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 150, ""W"": 2}",1,1,99.688,0.0,6.4835,0.0,154.2174,0.0,717551.2,0.0,158.8968,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 150, ""W"": 4}",1,1,99.692,0.0,4.1304,0.0,242.0581,0.0,743190.5,0.0,165.1564,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 200, ""W"": 1}",1,1,99.827,0.0,14.5956,0.0,68.5095,0.0,909418.5,0.0,205.7394,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 200, ""W"": 2}",1,1,99.829,0.0,8.5244,0.0,117.2976,0.0,921140.8,0.0,208.6502,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,ram_capped_4gb,4294967296,"{""L"": 200, ""W"": 4}",1,1,99.833,0.0,5.2713,0.0,189.6745,0.0,946208.4,0.0,214.7213,0.0,,,diskann|diskann_fp32_pq64|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 10, ""W"": 2}",1,1,68.748,0.0,0.7089,0.0,1409.1907,0.0,143796.2,0.0,22.5018,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
